column,count,mean,std,min,25%,50%,75%,max,missing_count,missing_percentage
date,,,,,,,,,0,0.0
feat_adj_close_hfq_stock_zh_a_hist,10.0,159.85,1.1575452954900354,158.69,158.97,159.25,160.99,161.35,1490,99.33
feat_amount_stock_zh_a_hist,10.0,4160957852.0,1540103537.4142992,2507882892.0,2535939661.0,4285477115.0,5342602447.0,6132887145.0,1490,99.33
feat_close_stock_zh_a_hist,10.0,59.05,0.5787726477450162,58.47,58.61,58.75,59.62,59.8,1490,99.33
feat_high_stock_zh_a_hist,10.0,59.732000000000006,0.6940829281225065,59.07,59.14,59.4,60.45,60.6,1490,99.33
feat_is_trade_tool_trade_date_hist_sina,1500.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0,0.0
feat_low_stock_zh_a_hist,10.0,58.634,0.22925967809451422,58.46,58.47,58.47,58.77,59.0,1490,99.33
feat_next_trade_date_tool_trade_date_hist_sina,,,,,,,,,300,20.0
feat_open_stock_zh_a_hist,10.0,58.912,0.3948220414876113,58.47,58.77,58.8,58.92,59.6,1490,99.33
feat_prev_trade_date_tool_trade_date_hist_sina,,,,,,,,,0,0.0
feat_turnover_stock_zh_a_hist,10.0,0.6519999999999999,0.23489004519845733,0.4,0.4,0.68,0.83,0.95,1490,99.33
feat_volume_stock_zh_a_hist,10.0,700608.6,253269.7180974377,426985.0,431869.0,728453.0,892968.0,1022768.0,1490,99.33
label_na_1d,1500.0,0.9946666666666667,0.07285895854857347,0.0,1.0,1.0,1.0,1.0,0,0.0
label_na_20d,1500.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0,0.0
label_na_5d,1500.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0,0.0
r_1d,8.0,41.78403703419764,56.6118270446408,-17.582417582417964,12.375623630980215,28.825282733794253,58.233696137011684,127.06800025162002,1492,99.47
r_20d,0.0,,,,,,,,1500,100.0
r_5d,0.0,,,,,,,,1500,100.0
ticker,,,,,,,,,0,0.0
